"F10000_P1825_7000_P2021_300_P1772_8_P1660_4000.csv"
""
"Index","Time","CH1:POS3D","CH2:SPEED","CH3:TCMD","CH4:ABS","CH1_1:POSC"
"","msec","mm","1/min","%","mm","mm"
0,0.000000,0.00000000,-0.34332275,-0.41197473,-0.00015259,0.00000000
1,1.000000,0.00000000,0.11444092,-0.67289206,-0.00007629,0.00000000
2,2.000000,0.00000000,0.45776367,-0.54929964,-0.00003815,0.00000000
3,3.000000,0.00000000,0.11444092,-0.17852238,-0.00007629,0.00000000
4,4.000000,0.00000000,-0.34332275,0.01373249,-0.00015259,0.00000000
5,5.000000,0.00000000,-0.45776367,-0.23345235,-0.00015259,0.00000000
6,6.000000,0.00000000,-0.11444092,-0.57676463,-0.00011444,0.00000000
7,7.000000,0.00000000,0.34332275,-0.65915957,-0.00007629,0.00000000
8,8.000000,0.00000000,0.34332275,-0.37077726,-0.00007629,0.00000000
9,9.000000,0.00000000,-0.11444092,-0.02746498,-0.00011444,0.00000000
10,10.000000,0.00000000,-0.45776367,-0.08239495,-0.00015259,0.00000000
11,11.000000,0.00000000,-0.22888184,-0.42570722,-0.00015259,0.00000000
12,12.000000,0.00000000,0.11444092,-0.68662455,-0.00007629,0.00000000
13,13.000000,0.00000000,0.34332275,-0.53556715,-0.00003815,0.00000000
14,14.000000,0.00000000,0.11444092,0.04119747,-0.00007629,0.00000000
15,15.000000,0.00000000,-0.34332275,0.31584729,-0.00011444,0.00000000
16,16.000000,0.00000000,-0.22888184,0.30211480,-0.00011444,0.00000000
17,17.000000,0.00000000,0.11444092,6.75638561,-0.00007629,0.00000000
18,18.000000,0.00000000,0.45776367,10.60148311,0.00022888,0.00050000
19,19.000000,0.00000000,2.28881836,16.60258171,0.00095367,0.00200000
20,20.000000,0.00010000,5.26428223,25.26778358,0.00244141,0.00500000
21,21.000000,0.00040000,10.41412354,36.24004394,0.00518799,0.01000000
22,22.000000,0.00170000,18.88275146,49.83521011,0.00965118,0.01750000
23,23.000000,0.00380000,30.21240234,63.67756111,0.01678467,0.02800000
24,24.000000,0.00760000,47.49298096,78.82449876,0.02746582,0.04200000
25,25.000000,0.01360000,70.61004639,87.99780280,0.04253387,0.06000000
26,26.000000,0.02260000,97.04589844,99.93133754,0.06259918,0.08200000
27,27.000000,0.03560000,128.17382813,100.00000000,0.08800507,0.10800000
28,28.000000,0.05330000,160.78948975,100.00000000,0.11894226,0.13800000
29,29.000000,0.07640000,193.63403320,100.00000000,0.15552521,0.17200000
30,30.000000,0.10540000,228.53851318,100.00000000,0.19771576,0.21000000
31,31.000000,0.13970000,261.15417480,100.00000000,0.24536133,0.25200000
32,32.000000,0.17910000,294.34204102,100.00000000,0.29880524,0.29800000
