"F10000_all_default_no_filter.csv"
""
"Index","Time","CH1:POS3D","CH2:SPEED","CH3:TCMD","CH4:ABS","CH1_1:POSC"
"","msec","mm","1/min","%","mm","mm"
0,0.000000,0.00000000,-0.11444092,-1.30458665,-0.00003815,0.00000000
1,1.000000,0.00000000,0.00000000,-1.34578413,0.00000000,0.00000000
2,2.000000,0.00000000,0.00000000,-1.33205163,0.00000000,0.00000000
3,3.000000,0.00000000,0.00000000,-1.31831914,0.00000000,0.00000000
4,4.000000,0.00000000,0.00000000,-1.27712167,-0.00003815,0.00000000
5,5.000000,0.00000000,-0.11444092,-1.31831914,-0.00003815,0.00000000
6,6.000000,0.00000000,0.00000000,-1.30458665,0.00000000,0.00000000
7,7.000000,0.00000000,0.00000000,-1.34578413,0.00000000,0.00000000
8,8.000000,0.00000000,0.00000000,-1.31831914,0.00000000,0.00000000
9,9.000000,0.00000000,0.00000000,-1.29085416,0.00000000,0.00000000
10,10.000000,0.00000000,-0.11444092,-1.29085416,-0.00003815,0.00000000
11,11.000000,0.00000000,0.00000000,-1.29085416,-0.00003815,0.00000000
12,12.000000,0.00000000,0.00000000,-1.33205163,0.00000000,0.00000000
13,13.000000,0.00000000,0.00000000,-1.33205163,0.00000000,0.00000000
14,14.000000,0.00000000,0.00000000,-1.18099423,0.00000000,0.00000000
15,15.000000,0.00000000,0.00000000,-1.09859929,0.00003815,0.00000000
16,16.000000,0.00000000,0.11444092,-0.89261192,0.00003815,0.00000000
17,17.000000,0.00000000,-0.11444092,-0.70035704,0.00000000,0.00000000
18,18.000000,0.00000000,-0.11444092,-0.52183466,0.00000000,0.00000000
19,19.000000,0.00000000,0.00000000,-0.39824224,0.00003815,0.00000000
20,20.000000,0.00000000,0.11444092,-0.16478989,0.00007629,0.00000000
21,21.000000,0.00000000,0.22888184,0.23345235,0.00011444,0.00010000
22,22.000000,0.00010000,0.11444092,0.60422961,0.00011444,0.00010000
23,23.000000,0.00010000,0.22888184,1.09859929,0.00019073,0.00030000
24,24.000000,0.00010000,0.34332275,1.67536391,0.00026703,0.00050000
25,25.000000,0.00010000,0.45776367,2.27959352,0.00041962,0.00080000
26,26.000000,0.00020000,0.91552734,2.93875309,0.00064850,0.00120000
27,27.000000,0.00030000,1.60217285,3.57044768,0.00102997,0.00180000
28,28.000000,0.00040000,2.51770020,4.33946718,0.00156403,0.00260000
29,29.000000,0.00070000,3.66210938,5.09475419,0.00236511,0.00350000
30,30.000000,0.00110000,5.03540039,6.09722604,0.00331879,0.00470000
31,31.000000,0.00180000,5.95092773,6.87997803,0.00453949,0.00620000
32,32.000000,0.00260000,8.01086426,8.37681956,0.00602722,0.00790000
33,33.000000,0.00360000,9.15527344,9.43422137,0.00789642,0.01010000
34,34.000000,0.00500000,11.90185547,10.46415820,0.01026154,0.01260000
35,35.000000,0.00650000,14.53399658,11.78247734,0.01300812,0.01550000
36,36.000000,0.00850000,17.62390137,13.01840154,0.01640320,0.01900000
37,37.000000,0.01120000,21.40045166,14.13073332,0.02044678,0.02290000
38,38.000000,0.01420000,24.94812012,15.27053007,0.02513885,0.02740000
39,39.000000,0.01790000,29.52575684,16.47898929,0.03063202,0.03260000
40,40.000000,0.02230000,34.33227539,17.24800879,0.03704071,0.03830000
41,41.000000,0.02720000,39.59655762,18.09942324,0.04436493,0.04480000
42,42.000000,0.03290000,45.08972168,19.41774238,0.05256653,0.05200000
43,43.000000,0.03950000,50.92620850,20.36528426,0.06187439,0.05990000
44,44.000000,0.04660000,57.33489990,21.40895358,0.07225037,0.06870000
45,45.000000,0.05490000,63.97247314,22.12304312,0.08380890,0.07830000
46,46.000000,0.06410000,70.95336914,23.18044493,0.09651184,0.08890000
47,47.000000,0.07410000,78.50646973,23.96319692,0.11054993,0.10030000
48,48.000000,0.08540000,85.71624756,25.00686625,0.12580872,0.11280000
49,49.000000,0.09750000,93.72711182,25.77588575,0.14244080,0.12620000
50,50.000000,0.11070000,101.85241699,26.94314749,0.16040802,0.14070000
51,51.000000,0.12510000,109.63439941,27.83575941,0.17978668,0.15640000
52,52.000000,0.14050000,118.67523193,28.81076627,0.20072937,0.17310000
53,53.000000,0.15710000,127.48718262,29.97802801,0.22312164,0.19110000
54,54.000000,0.17490000,136.75689697,31.06289481,0.24711609,0.21030000
55,55.000000,0.19400000,146.36993408,32.16149410,0.27271271,0.23070000
56,56.000000,0.21440000,156.09741211,33.23262840,0.30002594,0.25250000
57,57.000000,0.23610000,166.39709473,34.34496018,0.32905579,0.27560000
58,58.000000,0.25940000,177.26898193,35.18264213,0.35999298,0.30020000
59,59.000000,0.28400000,187.91198730,35.86926668,0.39283752,0.32610000
60,60.000000,0.31010000,199.92828369,36.70694864,0.42758942,0.35360000
61,61.000000,0.33780000,211.60125732,37.37984070,0.46440125,0.38250000
62,62.000000,0.36720000,223.96087646,38.16259269,0.50327301,0.41300000
63,63.000000,0.39820000,236.20605469,38.78055479,0.54424286,0.44520000
64,64.000000,0.43100000,248.90899658,39.89288657,0.58731079,0.47890000
65,65.000000,0.46550000,261.95526123,40.42845372,0.63262939,0.51440000
66,66.000000,0.50170000,275.00152588,41.60944795,0.68004608,0.55160000
67,67.000000,0.53970000,287.70446777,42.13128261,0.72975159,0.59050000
68,68.000000,0.57960000,301.78070068,42.81790717,0.78174591,0.63130000
69,69.000000,0.62120000,315.28472900,43.73798407,0.83610535,0.67380000
70,70.000000,0.66480000,329.93316650,44.13622631,0.89290619,0.71830000
71,71.000000,0.71020000,344.46716309,44.25981873,0.95226288,0.76460000
72,72.000000,0.75760000,359.34448242,45.37215051,1.01387024,0.81280000
73,73.000000,0.80700000,373.64959717,45.82532271,1.07803345,0.86290000
74,74.000000,0.85840000,388.75579834,46.59434221,1.14463806,0.91500000
75,75.000000,0.91170000,403.28979492,46.78659709,1.21383667,0.96910000
76,76.000000,0.96710000,418.85375977,47.28096677,1.28555298,1.02510000
77,77.000000,1.02440000,434.64660645,47.23976929,1.35993958,1.08310000
78,78.000000,1.08380000,449.75280762,47.54188410,1.43688202,1.14310000
79,79.000000,1.14540000,465.66009521,47.56934908,1.51649475,1.20510000
80,80.000000,1.20910000,481.33850098,47.77533645,1.59858704,1.26910000
81,81.000000,1.27510000,497.01690674,47.51441912,1.68346405,1.33510000
82,82.000000,1.34310000,512.92419434,47.08871189,1.77097321,1.40310000
83,83.000000,1.41320000,528.83148193,46.75913211,1.86111450,1.47310000
84,84.000000,1.48540000,544.85321045,46.51194727,1.95384979,1.54510000
85,85.000000,1.56000000,560.53161621,46.19609997,2.04914093,1.61910000
86,86.000000,1.63630000,575.29449463,45.74292777,2.14702606,1.69510000
87,87.000000,1.71470000,591.20178223,45.68799780,2.24746704,1.77310000
88,88.000000,1.79520000,606.65130615,45.61933535,2.35038757,1.85310000
89,89.000000,1.87780000,621.18530273,45.11123318,2.45586395,1.93510000
90,90.000000,1.96240000,636.06262207,45.00137325,2.56374359,2.01910000
91,91.000000,2.04890000,650.82550049,45.20736062,2.67406464,2.10510000
92,92.000000,2.13720000,665.81726074,45.38588300,2.78686523,2.19310000
93,93.000000,2.22750000,680.58013916,45.41334798,2.90210724,2.28310000
94,94.000000,2.31990000,695.22857666,45.12496567,3.01990509,2.37510000
95,95.000000,2.41400000,710.33477783,45.22109311,3.14010620,2.46910000
96,96.000000,2.51030000,724.75433350,45.53694040,3.26278687,2.56510000
97,97.000000,2.60860000,740.08941650,45.46827795,3.38794708,2.66310000
98,98.000000,2.70890000,754.62341309,45.07003570,3.51566315,2.76310000
99,99.000000,2.81080000,769.72961426,45.60560286,3.64574432,2.86510000
100,100.000000,2.91520000,784.37805176,45.83905520,3.77830505,2.96910000
101,101.000000,3.02130000,799.14093018,45.61933535,3.91342163,3.07510000
102,102.000000,3.12950000,814.36157227,45.77039275,4.05097961,3.18310000
103,103.000000,3.23970000,828.89556885,45.60560286,4.19101715,3.29310000
104,104.000000,3.35190000,844.23065186,45.01510574,4.33364868,3.40510000
105,105.000000,3.46610000,859.22241211,45.05630321,4.47864532,3.51900000
106,106.000000,3.58200000,873.87084961,44.54820104,4.62619781,3.63480000
107,107.000000,3.70020000,889.20593262,44.35594617,4.77615356,3.75270000
108,108.000000,3.82040000,903.16772461,44.20488877,4.92847443,3.87240000
109,109.000000,3.94260000,917.58728027,43.32600934,5.08331299,3.99400000
110,110.000000,4.06670000,932.57904053,43.43586927,5.24036407,4.11750000
111,111.000000,4.19240000,945.51086426,42.66684977,5.39978027,4.24280000
112,112.000000,4.32000000,960.27374268,41.73304037,5.56159973,4.36990000
113,113.000000,4.44960000,973.66333008,41.56825048,5.72551727,4.49880000
114,114.000000,4.58080000,987.39624023,40.60697611,5.89179993,4.62940000
115,115.000000,4.71420000,1000.90026855,39.67316671,6.06025696,4.76170000
116,116.000000,4.84900000,1013.60321045,38.64322988,6.23081207,4.89570000
117,117.000000,4.98570000,1026.53503418,37.66822302,6.40350342,5.03140000
118,118.000000,5.12410000,1039.23797607,37.10519088,6.57810211,5.16850000
119,119.000000,5.26400000,1050.56762695,35.67701181,6.75476074,5.30730000
120,120.000000,5.40560000,1063.38500977,34.26256523,6.93344116,5.44750000
121,121.000000,5.54860000,1074.02801514,33.57594068,7.11376190,5.58910000
122,122.000000,5.69310000,1085.01434326,32.17522659,7.29598999,5.73220000
123,123.000000,5.83930000,1096.11511230,31.63965943,7.47982025,5.87670000
124,124.000000,5.98650000,1104.92706299,30.37627026,7.66525269,6.02240000
125,125.000000,6.13510000,1115.45562744,29.34633342,7.85236359,6.16950000
126,126.000000,6.28500000,1124.38201904,28.78330129,8.04077148,6.31780000
127,127.000000,6.43610000,1133.19396973,27.31392475,8.23081970,6.46730000
128,128.000000,6.58820000,1142.23480225,26.75089261,8.42212677,6.61790000
129,129.000000,6.74120000,1149.67346191,25.91321066,8.61473083,6.76970000
130,130.000000,6.89560000,1157.79876709,24.33397418,8.80882263,6.92260000
131,131.000000,7.05110000,1166.03851318,23.96319692,9.00390625,7.07650000
132,132.000000,7.20720000,1172.21832275,23.04312002,9.20017242,7.23140000
133,133.000000,7.36440000,1179.42810059,22.05438066,9.39765930,7.38720000
134,134.000000,7.52270000,1186.40899658,21.57374348,9.59606171,7.54390000
